ユーザーストーリーのグループ	ユーザーストーリー	ユースケース	ユーザーストーリー名	主語	動詞	対象	理由	結果	ユーザーストーリーの完了条件
【グループ1：仕様書管理（ダッシュボード）】	仕様書作成者として、自分が作成・管理している全ての仕様書を一覧で確認したい。なぜならば、作業の全体像を把握し、どの仕様書を次に編集すべきか判断するため。	仕様書の管理	仕様書一覧の表示	仕様書作成者	一覧で確認する	自分が作成・管理している全ての仕様書	作業の全体像を把握し、次に編集すべき仕様書を判断するため。	ユーザーは自分がアクセスできる仕様書の一覧（件名、ステータス、バージョン、最終更新日）がリスト表示されたダッシュボードを見ることができる 1。	1. トップページ（1）にアクセスすると、仕様書一覧がテーブル形式で表示される。  2. テーブルには「件名」「ステータス」「バージョン」「最終更新日」「操作」のカラムが存在する。  3. （件名未設定）の仕様書もリストに表示される。
【グループ1：仕様書管理（ダッシュボード）】	仕様書作成者として、新しい仕様書をゼロから作成したい。なぜならば、新しい調達プロジェクトを開始するため。	仕様書の新規作成	新規仕様書の開始	仕様書作成者	作成する	新しい仕様書	新しい調達プロジェクトを開始するため。	ユーザーはウィザードの最初のステップ（基本情報）に遷移し、新しい仕様書の入力を開始できる 2。	1. トップページ（1）の「+ 新規作成」ボタンをクリックする。  2. アプリは新しい仕様書IDを（内部的に）採番する。  3. ユーザーは「ステップ 1/6 基本情報」画面（2）にリダイレクトされる（プロンプトログ 3 #13 の「ユーザー体験向上」の指示に基づき、Step 0ではなくStep 1に直接遷移する）。
【グループ1：仕様書管理（ダッシュボード）】	仕様書作成者として、一覧画面で各仕様書の「ステータス」を一目で識別したい。なぜならば、「編集中」「確認中」「保存済み」といった状態に応じて、次に行うべき作業（編集の継続か、レビューの依頼か）を判断するため 3。	仕様書の管理	ステータスによる状況把握	仕様書作成者	一目で識別する	各仕様書の「ステータス」（編集中、確認中、保存済み）	次に行うべき作業（編集の継続か、レビューの依頼か）を判断するため 3。	仕様書一覧（1）の「ステータス」カラムに、色付きのバッジなどで現在の状態が明確に表示される。	1. ステータスは「保存済み」「編集中」「確認中」のいずれかである 3。  2. 各ステータスは異なる色（例：緑、黄、青）のバッジで表示される。  3. ユーザーはリストをスクロールするだけで、各仕様書の現在の状態を即座に理解できる。
【グループ1：仕様書管理（ダッシュボード）】	仕様書作成者として、「保存済み」以外の仕様書については、「詳細」ではなく「編集」ボタンで作業を再開したい。なぜならば、その方が直感的に「作業の続きを行う」という次のアクションを認識できるため 3。	仕様書の編集	編集へのシームレスな移行	仕様書作成者	「編集」ボタンで作業を再開する	「保存済み」以外の仕様書（例：編集中、確認中）	「詳細」よりも「編集」の方が、作業再開のアクションとして直感的に認識できるため 3。	ユーザーは「編集中」の仕様書の横にある「編集」ボタンを押すことで、ウィザード画面に直接遷移し、作業を再開できる。	1. トップページ（1）の一覧で、ステータスが「保存済み」の仕様書の「操作」カラムには「詳細」ボタンが表示される。  2. ステータスが「保存済み」以外（例：「編集中」「確認中」）の仕様書の「操作」カラムには「編集」ボタンが表示される 3。
【グループ1：仕様書管理（ダッシュボード）】	仕様書管理者として、トップページから「設定」画面へアクセスしたい。なぜならば、仕様書作成に使用するテンプレート（スキーマ）を組織のルールに合わせて管理・変更するため 4。	スキーマ管理	設定画面へのナビゲーション	仕様書管理者	アクセスする	トップページから「設定」画面へ	仕様書作成に使用するテンプレート（スキーマ）を管理・変更するため 4。	ユーザーはトップページから設定画面（4）に遷移し、スキーマ管理を開始できる。	1. トップページ（1）に「設定」ボタンが表示されている。  2. 「設定」ボタンをクリックすると、「スキーマ設定」画面（4）へ遷移する。
【グループ2：仕様書作成（ウィザード Steps 1-5）】	仕様書作成者として、複雑な仕様書項目をステップ・バイ・ステップの形式で入力したい。なぜならば、仕様書作成というタスクを複数の小さなカテゴリに分割することで、順序立てて、漏れなく入力作業を進められるため 3。	仕様書の作成（ウィザード）	ウィザードによる構造化入力	仕様書作成者	ステップ・バイ・ステップの形式で入力する	複雑な仕様書項目	項目をカテゴリに分割し、順序立てて漏れなく入力するため 3。	ユーザーは「基本情報」「スコープ」「納品情報」など、明確に区分されたステップ（2）を順番に進めながら、仕様書を完成させることができる。	1. 仕様書作成画面は、明確に定義されたステップ（2〜9）で構成される 3。  2. 画面上部には「ステップ X/6」という進捗バーが表示される。  3. ユーザーは「次へ」「前へ」ボタンでステップ間を移動できる。
【グループ2：仕様書作成（ウィザード Steps 1-5）】	仕様書作成者として、仕様書の「件名」「調達の背景」「調達の目的」を最初に定義したい。なぜならば、その仕様書が「何を」「なぜ」調達するものなのか、という最も根本的な意図を、全ての関係者（レビューア、ベンダー）と共有するため 2。	仕様書の作成（ウィザード）	プロジェクトの基本定義	仕様書作成者	定義する	仕様書の「件名」「調達の背景」「調達の目的」	その調達が「何を」「なぜ」行うものなのか、根本的な意図を関係者と共有するため。	ユーザーはステップ1（2）で、仕様書の核となる3つの基本情報（件名、背景、目的）を入力できる。	1. 「ステップ 1/6 基本情報」画面（2）が表示される。  2. 「件名」「調達の背景」「調達の目的」の3つのテキスト入力フィールドが存在する。
【グループ2：仕様書作成（ウィザード Steps 1-5）】	仕様書作成者として、「調達の種別」（契約形態）と「調達のスコープ」（作業範囲）を明確に選択したい。なぜならば、発注の法的根拠（準委任/委任）と、ベンダーに依頼する作業範囲（例：機能開発のみ）を仕様書の前提条件として定義するため 5。	仕様書の作成（ウィзаード）	契約とスコープの定義	仕様書作成者	選択する	「調達の種別」と「調達のスコープ」	発注の法的根拠と作業範囲を、仕様書の前提条件として定義するため。	ユーザーはステップ2（5）で、契約形態（ラジオボタン）と作業範囲（チェックボックス）を選択し、調達の枠組みを決定できる。	1. 「ステップ 2/6 調達の種別とスコープ」画面（5）が表示される。  2. 「調達の種別」がラジオボタン（例：「準委任」「委任」）で提供される。  3. 「調達のスコープ」がチェックボックス（複数選択可）で提供される。
【グループ2：仕様書作成（ウィザード Steps 1-5）】	仕様書作成者として、「納品期限」「納品場所」「担当者」といった納品に関する情報を具体的に入力したい。なぜならば、成果物の受け渡し（検収）プロセスを明確にし、関係者間の認識齟齬を防ぐため 3。	仕様書の作成（ウィザード）	納品プロセスの定義	仕様書作成者	入力する	「納品期限」「納品場所」「担当者」	成果物の受け渡し（検収）プロセスを明確にし、認識齟齬を防ぐため。	ユーザーはステップ3（6）で、納品に関する具体的な情報を入力できる。	1. 「ステップ 3/6 納品情報」画面（6）が表示される。  2. 「納品期限」の入力（カレンダーピッカーを伴う日付入力）。  3. 「納品場所」の入力（テキスト）。  4. 「担当者」の入力（テキスト）3。
【グループ2：仕様書作成（ウィザード Steps 1-5）】	仕様書作成者として、「納品物」をリストとして複数追加・編集・削除したい。なぜならば、一つの調達プロジェクトには、通常、複数の成果物（例：設計書、ソースコード、テスト報告書）が存在するため 3。	仕様書の作成（ウィザード）	[1対多] 納品物のリスト化	仕様書作成者	リストとして複数追加・編集・削除する	「納品物」（名称、個数、説明）	一つの調達プロジェクトには複数の成果物が存在するため 3。	ユーザーはステップ3（6）で、「+ 納品物を追加」ボタンを使い、必要なだけ納品物アイテムをリストに追加できる。	1. 「納品物」セクションに「+ 納品物を追加」ボタンが表示される 6。  2. ボタンを押すと、「納品物X」の入力ブロック（名称、個数、説明）が新しく追加される 3。  3. 各納品物ブロックには「削除」ボタン（UI上は示されていないが機能として必須）が存在する。
【グループ2：仕様書作成（ウィザード Steps 1-5）】	仕様書作成者として、「受注者に求められる要件」をリストとして複数追加・編集・削除したい。なぜならば、発注先を選定するための基準（例：セキュリティ認証、特定技術の経験）が複数あり、それらを明示する必要があるため 3。	仕様書の作成（ウィザード）	[1対多] 受注者要件のリスト化	仕様書作成者	リストとして複数追加・編集・削除する	「受注者に求められる要件」（カテゴリ、説明）	発注先選定のための基準（例：セキュリティ、実績）が複数あり、それらを明示する必要があるため 3。	ユーザーはステップ4（7）で、「+ 要件を追加」ボタンを使い、受注者に対する要求事項をリストとして追加できる。	1. 「受注者に求められる要件」セクションに「+ 要件を追加」ボタンが表示される 7。  2. ボタンを押すと、「要件X」の入力ブロック（カテゴリ、説明）が新しく追加される 3。  3. 各要件ブロックには「削除」ボタン（UI上は示されていないが機能として必須）が存在する。
【グループ2：仕様書作成（ウィザード Steps 1-5）】	仕様書作成者として、「業務の基本要件」をリストとして複数追加・編集・削除したい。なぜならば、開発・納品されるシステムやサービス自体が満たすべき技術的・非機能的な要件（例：稼働率、セキュリティ準拠）が複数あるため 3。	仕様書の作成（ウィザード）	[1対多] 業務基本要件のリスト化	仕様書作成者	リストとして複数追加・編集・削除する	「業務の基本要件」（カテゴリ、説明）	納品物自体が満たすべき技術的・非機能的な要件が複数あるため 3。	ユーザーはステップ4（7）で、「+ 基本要件を追加」ボタンを使い、業務の前提条件をリストとして追加できる。	1. 「業務の基本要件」セクションに「+ 基本要件を追加」ボタンが表示される 7。  2. ボタンを押すと、「基本要件X」の入力ブロック（カテゴリ、説明）が新しく追加される 3。  3. 各基本要件ブロックには「削除」ボタン（UI上は示されていないが機能として必須）が存在する。
【グループ2：仕様書作成（ウィザード Steps 1-5）】	仕様書作成者として、「業務タスク」をリストとして複数追加・編集・削除したい。なぜならば、調達スコープ内の業務を、実行可能な単位（WBSの要素）に具体的に分解し、それぞれに詳細な仕様を定義する必要があるため 8。	仕様書の作成（ウィザード）	[1対多] 業務タスクのリスト化	仕様書作成者	リストとして複数追加・編集・削除する	「業務タスク」（タイトル、詳細仕様）	業務を具体的な作業タスクに分解し、それぞれに詳細な仕様を定義する必要があるため。	ユーザーはステップ5（8）で、「+ 業務を追加」ボタンを使い、実施すべき業務タスクをリストとして追加できる。	1. 「各業務の詳細仕様」画面（8）に「+ 業務を追加」ボタンが表示される。  2. ボタンを押すと、「業務X」の入力ブロック（タイトル、詳細仕様）が新しく追加される。  3. 各業務ブロックには「削除」ボタン（UI上は示されていないが機能として必須）が存在する。
【グループ3：レビュー、バリデーション、保存（ウィザード Step 6）】	仕様書作成者として、保存（発行）する前に、入力した全ての項目を一つの画面で一覧（サマリー）したい。なぜならば、各ステップ間での内容の整合性を確認し、全体を俯瞰して最終チェックを行うため 9。	仕様書のレビューと保存	最終確認サマリーの表示	仕様書作成者	一覧（サマリー）する	入力した全ての項目	保存（発行）前に、内容の整合性を確認し、全体を俯瞰して最終チェックを行うため。	ユーザーはステップ6（9）で、ステップ1〜5で入力した全項目の内容が一覧表示されたサマリーページを確認できる。	1. 「ステップ 6/6 確認・保存」画面（9）に、全ステップの入力内容が読み取り専用形式で表示される。  2. 未入力の項目には「(未入力)」と表示される。
【グループ3：レビュー、バリデーション、保存（ウィザード Step 6）】	仕様書作成者として、確認サマリー画面で「未入力の項目」を視覚的に（例：薄赤色の背景で）強調表示してほしい。なぜならば、仕様書として致命的となる「必須項目の入力漏れ」を確実に見つけ出し、保存（発行）前に修正するため 3。	仕様書のレビューと保存	入力漏れの視覚的検知（バリデーション）	仕様書作成者	視覚的に強調表示させる	「未入力の項目」	致命的な「必須項目の入力漏れ」を確実に見つけ出し、修正するため 3。	ユーザーはステップ6（9）のサマリー画面で、未入力の項目（例：「件名 (未入力)」）が背景色（例：薄赤）で強調表示されているのを確認できる。	1. プロンプトログ（3, #13）の指示に基づき、確認画面（9）で「(未入力)」と表示されている項目の背景が、薄い赤色で強調表示される。
