大分類	小分類	要件カテゴリ	要件名	目的	概要	ステークホルダー	入力（もしあれば）	出力（もしあれば）
全体・共通要件	非機能要件 (ユーザビリティ)	非機能	UIコンポーネントの視認性担保	1 アイコンが背景に溶け込んで見えにくいと、その機能（カレンダーピッカー）が使えない、あるいは存在しないと誤解し、UX（ユーザー体験）が低下するため。	1 「納品期限」2 のカレンダーアイコンなど、操作可能なUIコンポーネントは、背景色と明確に区別できる色（例：黒）で表示し、ユーザーが即座に認識・操作できるようにする。	仕様書作成者	-	-
全体・共通要件	非機能要件 (ユーザビリティ)	非機能	新規作成時のUX最適化（ステップ0のスキップ）	1 新規作成時の目的は「すぐに入力を始めること」であり、不要なクリックを省略してユーザー体験を向上させるため。	1 トップページ3の「+ 新規作成」ボタンをクリックした際、概要ページ（ステップ0）を経由せず、即座に「ステップ 1/6 基本情報」画面4に遷移させる。	仕様書作成者	「+ 新規作成」ボタンのクリック	画面遷移
全体・共通要件	非機能要件 (信頼性・データ保持)	非機能	入力データの自動保存（ローカルストレージ）	1 仕様書作成は時間がかかる作業であり、ブラウザのクラッシュやネットワークの切断などで、長時間かけて入力した内容が失われることを防ぐため。	1 ウィザードの各ステップ（1〜5）でユーザーがフォームに入力中、データは定期的に、または変更が検知されるたびに、ブラウザのローカルストレージに自動的に保存される。画面上には「自動保存中」というインジケータが表示される。	仕様書作成者	フォームフィールドへの入力イベント	ローカルストレージへのデータ書き込み
全体・共通要件	非機能要件 (信頼性・データ保持)	非機能	作業のシームレスな再開	1 自動保存された内容を探したり、ロードし直したりする手間を省き、効率的に作業を継続するため。	1 ユーザーが「編集中」の仕様書3を開いた際、またはウィザード画面をリロードした際、ローカルストレージに保存されたデータを自動的に読み込み、前回終了時のステップと入力内容を完全に復元する。	仕様書作成者	ウィザード画面のロードイベント	フォームフィールドへのデータ復元
全体・共通要件	非機能要件 (互換性・エクスポート)	非機能	PDFエクスポートの可読性・互換性	1 OSや環境に依存せず、改変不可能な「正本」として正確に閲覧・印刷できるため。	8 生成されるPDFファイルは、主要なPDFビューア（Acrobat Reader, 主要ブラウザのビューア）でレイアウト崩れなく表示されること。日本語フォントが適切に埋め込まれ、文字化けしないこと。	仕様書作成者, ベンダー, 上長	-	-
全体・共通要件	非機能要件 (互換性・エクスポート)	非機能	Wordエクスポートの編集互換性	1 アプリのアカウントがなくても、「変更履歴」や「コメント」機能を使って、仕様書のレビュー（赤入れ）や共同編集を行うため。	8 生成される.docxファイルは、Microsoft Word（Windows, Mac）およびGoogle Docsで開くことができ、テキストの編集、「変更履歴」機能、「コメント」機能が正常に動作すること。	仕様書レビューア（法務部や上長）	-	-
全体・共通要件	非機能要件 (互換性・エクスポート)	非機能	Markdownエクスポートの可読性（Diff-Friendly）	1 仕様書の変更履歴をGitなどのバージョン管理システムで、差分（Diff）として技術的に管理しやすくするため。	8 生成される.mdファイルは、CommonMark仕様に準拠すること。仕様書の各項目（例：「調達の目的」）と内容が、Gitの差分表示（diff）で変更箇所が明確に識別しやすいように、適切に改行されたクリーンな形式で出力されること。	仕様書レビューア（開発チーム）	-	-
全体・共通要件	非機能要件 (セキュリティ・認証)	非機能	ユーザー認証（推測）	1 ユーザーごとにアクセス可能な仕様書を管理・分離し、「自分が作成・管理している」データのみを表示するため。	1 アプリケーションはユーザー認証（ログイン・ログアウト）機能を備える必要がある。「自分が作成・管理している全ての仕様書」という記述から、ユーザーの識別が前提となっているため。	全ユーザー	ログイン情報（ID/パスワード等）	認証セッション
全体・共通要件	非機能要件 (セキュリティ・認証)	非機能	ロールベース・アクセス・コントロール (RBAC)（推測）	1 「仕様書作成者」と「仕様書管理者」の権限を分離し、システム設定（スキーマ）の完全性を守るため。	1 システムは少なくとも2つのロール（「作成者」「管理者」）を持つ。「作成者」はダッシュボード3の「設定」ボタン9にアクセスできないか、ボタンが非表示である。「管理者」は「設定」ボタンにアクセスし、スキーマを編集できる。	仕様書作成者, 仕様書管理者	認証されたユーザーのロール情報	UIコンポーネント（「設定」ボタン）の表示/非表示
仕様書管理 (ダッシュボード)	画面 (トップページ)	画面	画面: トップページ (ダッシュボード)	1 ユーザーが自身に関連する仕様書を一覧し、管理（新規作成、編集、参照）するためのエントリーポイントを提供する。	3 画面は以下の主要コンポーネントで構成される： 1. ヘッダー: 「ソフトウェア仕様書管理」タイトル、説明文。 2. 一覧セクション: 「ソフトウェア仕様書一覧」タイトル、説明文、仕様書一覧テーブル。 3. 操作エリア: 「+ 新規作成」ボタン、「設定」ボタン。	仕様書作成者, 仕様書管理者	-	-
仕様書管理 (ダッシュボード)	機能 (一覧表示・フィルタリング)	機能	仕様書一覧表示	1 自分が作成・管理している全ての仕様書を一覧で確認し、作業の全体像を把握するため。	1 ユーザーがアクセス権を持つ仕様書をテーブル形式で表示する。テーブルカラムは「件名」「ステータス」「バージョン」「最終更新日」「操作」を含む。「(件名未設定)」の仕様書もリストに表示される。	仕様書作成者	ユーザー認証情報	当該ユーザーに関連する仕様書のリスト（DBから取得）
